6	2	#	4	3	#	#	#	1	7	#	9	3	6	2	4	6	1	5	3
#	3	1	2	#	#	#	2	7	#	4	3	2	8	#	2	9	8	1	5
9	2	4	5	#	6	#	8	3	#	5	7	1	4	#	#	2	4	9	4
8	3	5	3	3	3	#	6	3	4	5	#	5	8	6	5	7	#	#	#
6	#	#	9	9	2	#	#	8	5	2	9	2	6	#	4	9	8	7	#
6	5	5	7	#	#	8	S	5	#	6	9	5	6	#	#	1	#	1	5
8	4	8	#	#	2	7	2	#	#	8	#	3	#	#	#	7	4	7	8
#	#	7	3	7	1	4	#	9	8	7	8	1	#	#	G	#	5	#	#
4	6	#	6	6	8	8	#	7	8	#	1	#	#	1	#	8	3	#	9
#	3	#	6	#	2	#	7	7	7	2	6	#	9	8	7	#	7	#	9
5	#	#	5	7	#	9	3	3	6	6	1	9	1	6	2	#	4	#	5
3	7	3	#	#	4	7	1	#	2	3	9	#	3	#	#	8	2	6	#
1	#	#	2	#	4	#	9	6	2	#	9	3	9	3	#	6	#	6	9
3	5	#	3	2	#	#	#	#	8	1	6	8	2	#	2	7	#	3	3
5	1	9	1	5	#	5	3	#	#	5	6	#	6	4	9	9	2	4	5
7	#	#	9	#	3	#	6	1	9	#	1	2	9	#	#	#	8	#	5
#	5	6	#	2	1	5	6	1	#	1	#	7	#	#	8	7	9	4	#
5	1	#	8	#	4	#	2	#	4	8	6	#	5	#	5	9	4	#	#
#	8	#	#	#	9	2	7	#	2	3	3	7	#	9	1	6	8	8	#
8	#	9	#	8	4	3	1	#	1	5	2	#	#	9	#	#	#	2	7
